id;brand_owner;gtin_upc;ingredients;serving_size;serving_size_unit;household_serving_fulltext;branded_food_category
1;Park FTP;open-source;cross-platform;98462;Ga;connecting;transmitting
2;Corporate;bypass Sausages;Designer parsing;30654;Sp;Sharable wireless;Saint Helena Pound array
3;Argentine Peso SQL;Cross-platform;grey;81287;ge;static Cambridgeshire Credit Card Account;Way
4;Fantastic;Rubber Bahamian;Personal Loan Account Trafficway;44320;pa;Personal Loan Account SMTP;Sports communities
5;Cambridgeshire;benchmark engag;Plastic orange;94818;In;auxiliary Puerto Rico;Designer
6;Investment Account Peru;Illinois overri;South Carolina tan;94691;co;Pa'anga Row Steel;Interactions
7;Licensed Concrete Soap Frozen Fantastic Concrete Computer;Borders;B2C cyan;53108;ha;Generic Cotton Fish payment Associate;Agent Tactics neural
8;Avon Gloves Response;intermediate cu;holistic Practical neural;43430;Ca;blue Cayman Islands;Assurance Investment Account
9;Cambridgeshire;Guinea Franc;Supervisor;32193;Ar;turn-key disintermediate;Usability Rubber
10;Proactive Avon solutions;responsive bric;Human 1080p orchid;94646;Li;open-source Producer;European Unit of Account 9(E.U.A.-9) copying
