id;amount;portion_description;modifier;gram_weight
1;95306;navigating Usability;Home;88106
2;1227;knowledge user hack Executive;Ohio Personal Loan Account Baby;71690
3;7324;Handmade Soft Table;Agent withdrawal;86139
4;58211;invoice;Executive turn-key;30026
5;50062;flexibility Bedfordshire morph;back up Metal;66187
6;89676;Automotive PCI;Handcrafted Granite Chair;74470
7;20504;Vision-oriented Bridge expedite;magnetic New Leu generating;21922
8;8938;Polarised Arizona;Ergonomic Concrete Pizza invoice Alabama;45410
9;68942;Money Market Account;yellow;17425
10;72690;Naira;Oval;81646
